Event_coordinates	NGS_PSI	PCR_PSI
chr17:42289712-42289822	0.380639946989	0.17
chr11:129993507-129993674	0.786993800464	0.621
chr11:85342189-85342360	0.474048402711	0.305
chr20:35866805-35866852	0.0329642666187	0.0
chr4:2746424-2746672	0.971997282523	0.803
chr12:50052225-50052377	0.961403828429	0.504
chr5:148622054-148622101	0.415004943398	0.087
chr3:152164493-152164546	0.367178520196	0.564
chr19:7970693-7970740	0.135681556921	0.414
chr19:7708051-7708131	0.854959546777	0.797
chr21:48056351-48056459	0.290055202178	0.33
chr17:47491604-47491695	0.106485006305	0.016
chr6:136588167-136588313	0.76560140691	0.518
chr14:105181621-105181677	0.990080284779	0.92
chr1:161008341-161008463	0.607737941708	0.487
chr11:70267576-70267686	0.178682141706	0.197
chr17:41894045-41894065	0.968463293838	0.82
chr6:31804201-31804294	0.467094143004	0.216
chr19:9268656-9268751	0.857380928801	0.601
chr17:6353348-6353392	0.628693146265	0.605
chr11:3068983-3069231	0.272227326527	0.026
chr11:63991572-63991682	0.427147964994	0.3
chr6:33237776-33237828	0.981597316623	0.858
chr16:3073475-3073531	0.239427969371	0.385
chr9:113013100-113013159	0.997944402101	1.0
chr1:54354917-54355136	0.663056051612	0.171
chr11:118404135-118404266	0.225970881799	0.293
chr10:104831531-104831596	0.198875160832	0.34
chr20:45841287-45841370	0.932577066598	0.333
chr10:99210114-99210293	0.18226710819	0.0
chr15:65930466-65930519	0.232522051831	0.243
chr11:57583387-57583473	0.318671429607	0.122
chr11:66052852-66053007	0.167023264604	0.134
chr1:153517946-153517994	0.0157180172916	0.08
chr20:62507169-62507228	0.924423194473	0.625
chr11:64055537-64055686	0.640386339746	0.392
chr22:40797597-40797679	0.779336241628	0.385
chr4:153791905-153792000	0.85143214284	0.45
chr9:139303451-139303519	0.155257193448	0.204
chr19:11150134-11150229	0.225436495125	0.081
chr22:43533087-43533304	0.910995014939	0.379
chr13:45914847-45914920	0.95296820752	0.967
chrX:23752458-23752484	0.213952072166	0.479
chr19:10919245-10919256	0.953847354471	0.587
chr16:24950685-24950918	0.0816966305137	0.031
chr1:44067742-44067768	0.458303880387	0.438
chr1:110465788-110466333	0.00259334716731	0.113
chr7:99056770-99056886	0.839195087996	0.872
chr20:60864263-60864386	0.862595183821	1.0
chr12:58113882-58114046	0.0729614138595	0.015
chrX:153585619-153585642	0.421727585737	0.4
chr19:805492-805569	0.609340878336	0.0
chr3:58117654-58117746	0.125734064685	0.086
chr12:110383065-110383154	0.271084796244	0.444
chr10:99213556-99213603	0.846201525814	0.824
chr11:62401782-62401847	0.0928104264604	0.08
chr3:52280990-52281244	0.503134684572	0.049
chr1:75184893-75185056	0.985180874164	0.88
chr16:28993222-28993377	0.212353792313	0.361
chr12:6958487-6958593	0.855681391968	0.647
chr1:156446286-156446306	0.727676881294	0.571
chr6:31856746-31856847	0.217367880412	0.22
chr19:805513-805569	0.0279384914325	0.0
chr19:47342722-47342835	0.98950528413	0.0094
