Event_coordinates	NGS_PSI	PCR_PSI
('chr11', 72535105, 72535167)	0.445824041523	0.517
('chr17', 42152337, 42152455)	0.409277765176	0.256
('chr16', 88783945, 88784023)	0.547095536716	0.231
('chr7', 75616856, 75616920)	0.414536183677	0.171
('chr1', 54354917, 54355136)	0.634780160269	0.171
('chr14', 105181621, 105181677)	0.942818195147	0.92
('chr11', 117253512, 117253658)	0.947114842573	0.288
('chr11', 85342189, 85342360)	1.0	0.305
('chr4', 153791905, 153792000)	0.82861147196	0.45
('chr17', 41894045, 41894065)	0.951220546395	0.82
('chrX', 2326786, 2326854)	0.628165015849	0.86
('chr1', 153517946, 153517994)	0.0608909885047	0.08
('chr7', 100402788, 100402943)	0.492123728871	0.673
('chr11', 67817954, 67818131)	0.548713689026	0.114
('chr20', 35866805, 35866852)	0.20461751143	0.0
('chr22', 40797597, 40797679)	0.782572746888	0.385
('chr16', 66597025, 66597120)	0.676053699611	0.803
('chr11', 66052852, 66053007)	0.132743695429	0.134
('chr17', 6353348, 6353392)	0.198231877135	0.605
('chr6', 33237776, 33237828)	1.0	0.858
('chr19', 805513, 805569)	0.431463105128	0.0
('chr11', 57583387, 57583473)	0.270163950243	0.122
('chr1', 75184893, 75185056)	0.987441852822	0.88
('chr5', 148622054, 148622101)	0.447597339054	0.087
('chr11', 62401782, 62401847)	0.174310264234	0.08
('chr17', 42289712, 42289822)	0.371420578085	0.17
('chr6', 31804072, 31804294)	0.047622907723	0.216
('chr6', 136588167, 136588313)	0.462064596334	0.518
('chrX', 128948634, 128948771)	0.91593485432	0.785
('chrX', 23752458, 23752484)	0.087747172489	0.479
('chr17', 7490217, 7490335)	0.768294378103	0.411
('chr1', 46034157, 46034356)	0.724143207047	0.407
('chr17', 41103817, 41103911)	0.273878606855	0.636
('chr1', 12042580, 12042647)	0.067112583157	0.05
('chr19', 7708051, 7708131)	0.86811981444	0.797
('chr22', 43533087, 43533304)	0.324814486308	0.379
('chr19', 47342722, 47342835)	0.927683715953	0.0094
('chr11', 47445980, 47446042)	0.976194077208	0.956
('chr21', 48056351, 48056459)	0.0648249882308	0.33
('chr3', 58117654, 58117746)	0.0156703131225	0.086
('chr7', 44251153, 44251203)	0.145483253987	0.082
('chr12', 124811955, 124812179)	0.6502014183	0.459
('chr12', 50052225, 50052377)	0.966633359133	0.504
('chr3', 52280990, 52281244)	0.362155934594	0.049
('chr1', 153615703, 153615840)	0.407913320613	0.551
('chr1', 11888515, 11888681)	0.205598962328	0.08
('chr20', 45841287, 45841370)	0.211664595935	0.333
('chr7', 141441549, 141441592)	0.228213705447	0.027
('chr16', 3073475, 3073531)	0.0661278266116	0.385
('chr2', 85578803, 85578985)	0.893330314833	0.598
('chr3', 11886365, 11886570)	0.04023230208	0.05
('chr20', 60864263, 60864386)	0.718039779949	1.0
('chr9', 99084280, 99084362)	0.590582275211	0.731
('chr16', 24950685, 24950918)	0.0934347526367	0.031
('chr7', 99056770, 99056886)	0.760575267124	0.872
('chr11', 64055537, 64055686)	0.567334826107	0.392
('chr1', 44067742, 44067768)	0.679204046896	0.438
('chr6', 10755375, 10755465)	0.493354726568	0.566
('chr12', 57993183, 57993221)	0.9193583818	0.432
('chr4', 726189, 726287)	0.135239879447	0.245
('chr18', 12420324, 12420492)	0.289103792922	0.157
('chr3', 50389440, 50389477)	0.945007323493	0.307
('chr1', 156446286, 156446306)	0.448049743456	0.571
('chr16', 28993222, 28993377)	0.178301628747	0.361
('chr4', 2746424, 2746672)	0.883699021347	0.803
('chr1', 79128389, 79128563)	0.0138883993656	0.083
('chr9', 113013100, 113013159)	0.995523986416	1.0
('chr17', 47491604, 47491695)	0.491073229532	0.016
('chr12', 7031219, 7031327)	0.84729087157	0.667
('chr10', 99213556, 99213603)	0.708568316458	0.824
('chr7', 100855811, 100855936)	0.736428655366	0.795
('chrX', 153585619, 153585642)	0.238346607968	0.4
('chr3', 152164493, 152164546)	0.461292383329	0.564
('chr6', 36103796, 36103825)	0.334770270236	0.976
('chr1', 2330854, 2330953)	0.589690794259	1.0
('chr6', 117864287, 117864374)	0.750187524001	0.485
('chr1', 173684662, 173684793)	0.254624621753	0.283
('chr6', 52130033, 52130183)	0.143311678918	0.0
('chr7', 65439906, 65440058)	0.215739163729	0.212
('chr12', 58113882, 58114046)	0.0769232798096	0.015
('chr15', 65930466, 65930519)	0.12773598092	0.243
('chr15', 69652305, 69652470)	0.0901108307138	0.453
('chr19', 7970693, 7970740)	0.106009678477	0.414
('chr20', 62507169, 62507228)	0.958290618699	0.625
('chr1', 110465788, 110466333)	0.0	0.113
('chr10', 104831531, 104831596)	0.303753074424	0.34
('chr19', 45991895, 45991964)	0.712591427218	0.63
('chr11', 129993507, 129993674)	0.739289616782	0.621
('chr1', 53738276, 53738314)	0.0622377125673	0.281
