Event_coordinates	NGS_PSI	PCR_PSI
chr12:57993183-57993221	0.957197905095	0.701
chr11:70267576-70267686	0.784422269335	0.498
chr6:10755375-10755465	0.762739890484	0.6
chr1:12042580-12042647	0.0115987931851	0.0
chr12:50052225-50052377	0.791200262197	0.218
chrX:2326786-2326854	0.642743354797	0.51
chr11:66052852-66053007	0.639536024783	0.426
chr21:48056351-48056459	0.163605240705	0.356
chr19:805513-805569	0.189975083944	0.105
chr7:141441549-141441592	0.0166592622064	0.0
chr17:41894045-41894065	0.360635847091	0.0
chr3:152164493-152164546	0.213002599049	0.118
chr9:99084280-99084362	0.938459257867	0.97
chr6:31804076-31804294	0.14736889566	0.067
chr12:6958487-6958593	0.609696879242	0.797
chr11:67817954-67818131	1.0	0.707
chr6:52130033-52130183	0.0904765230629	0.0
chr19:805492-805569	0.279986497622	0.105
chr11:57583387-57583473	0.0101269941694	0.007
chr12:124812093-124812179	0.303245725587	0.167
chr1:54354917-54355136	0.413016345347	0.091
chr10:99213556-99213603	0.659242227108	0.563
chr6:31804072-31804294	0.0157439904868	0.067
chr17:6353348-6353392	0.556468639533	0.806
chr1:156446286-156446306	0.23834165762	0.035
chr7:65439906-65440058	0.433955636694	0.317
chr1:150240357-150240527	0.963056553528	0.49
chr6:117864287-117864374	0.909696185757	0.803
chr20:35866805-35866852	0.106120400492	0.0
chr22:43533087-43533304	0.387416626121	0.177
chr1:173684662-173684793	0.132119899901	0.102
chr17:42152337-42152455	0.572255096385	0.506
chr10:99210114-99210293	0.0689766328933	0.0
chr16:88783945-88784023	0.268429164158	0.115
chr14:105181621-105181677	0.712371829043	0.759
chr2:85578803-85578985	0.995824794165	0.916
chr11:64055537-64055686	0.644699726508	0.555
chr11:72535105-72535167	0.579766022072	1.0
chr11:63991572-63991682	0.733035867466	0.431
chr4:153791905-153792000	0.689896952671	0.279
chr7:100402788-100402943	0.510691688038	0.953
chr1:75184893-75185056	0.978965231492	0.9
chr12:58113882-58114046	0.244951768323	0.047
chr4:2746424-2746672	0.940788384358	0.633
chr6:136588167-136588313	0.577980199367	0.514
chr19:47342722-47342835	0.981212163609	0.01
chr16:24950685-24950918	0.770372248407	0.631
chr15:65930466-65930519	0.61387386855	0.203
chr1:153615703-153615840	0.768019466605	0.926
chr5:148622054-148622101	0.521697573383	0.0
chr11:117253512-117253658	0.927678032832	0.181
chr1:44067742-44067768	0.558152448622	0.168
chr19:10919245-10919256	0.538445292894	0.268
chr6:36103796-36103825	0.579784764461	0.98
chr16:75270780-75270896	0.984614521184	0.0
chr7:99056770-99056886	0.824492410952	0.884
chr1:11888515-11888681	0.664403564109	0.163
chr11:233343-233534	0.805965912578	0.831
chr19:45991895-45991964	1.0	0.932
chr7:44251153-44251203	0.139928726745	0.058
chr9:113013100-113013159	0.997656984301	1.0
chr16:28993222-28993377	0.787126598599	0.752
chr1:53738276-53738314	0.26139549793	0.889
chr17:41103817-41103911	0.829798553139	0.826
chr20:45841287-45841370	0.121790000553	0.08
chr7:100855811-100855936	0.863084715282	0.922
chr4:726233-726287	0.0576479636099	0.0
chr1:46034157-46034356	0.626578537808	0.245
chr16:3073475-3073531	0.167067172575	0.502
chr18:12420324-12420492	0.284323798574	0.0
chr19:1106241-1106265	0.968504684594	0.82
chr1:2330854-2330953	0.676250067415	1.0
chr12:124811955-124812179	0.6474535061	0.167
chr3:52280990-52281244	0.538269272092	0.086
chr15:69652305-69652470	0.698118222898	0.324
chr20:60864263-60864386	0.777032116844	1.0
chr3:58117654-58117746	0.0717479620876	0.33
chr1:161008341-161008463	0.322903471623	0.182
chr19:9268656-9268751	0.676898338688	0.57
chr7:75616856-75616920	0.770366815474	0.558
chr1:79128389-79128563	0.433319640173	0.45
chr5:134688636-134688735	0.974415114421	0.949
chr19:17291736-17291849	0.995229375529	0.675
chr3:11886365-11886570	0.0637809949082	0.0
chr1:153517946-153517994	0.33917427746	0.0
chr8:145066046-145066246	0.913374545621	0.824
chr17:47491604-47491695	0.338507415003	0.0
chr22:31724773-31724910	0.168166340838	0.047
chr17:42289712-42289822	0.561278402831	0.22
chr11:62401782-62401847	0.193336084953	0.16
chr22:40797597-40797679	0.683757119457	0.244
chrX:23752458-23752484	0.174470552626	0.721
chr10:104831531-104831596	0.128168584781	0.29
chr11:47445980-47446042	0.998456690114	0.996
chr3:50389440-50389477	0.923677525168	0.428
chr12:7031219-7031327	0.993097172834	1.0
chr11:3068983-3069231	0.166327699234	0.007
chr6:33237776-33237828	1.0	0.935
chr6:31804201-31804294	0.732003432927	0.067
chr19:7708051-7708131	0.924908133101	0.87
chr4:726189-726287	0.160830600326	0.0
chrX:153585619-153585642	0.300766436112	0.794
chr13:45914847-45914920	0.790993213377	0.97
chr19:7970693-7970740	0.454876405562	0.76
chr20:62507169-62507228	0.773033693978	0.476
chr11:129993507-129993674	0.557893846453	0.106
chrX:128948634-128948771	1.0	0.926
chr1:110465788-110466333	0.244248990484	0.19
