Event_coordinates	NGS_PSI	PCR_PSI
('chr10', 99210114, 99210293)	0.183857667845	0.0
('chr1', 54354917, 54355136)	0.66271325609	0.171
('chr11', 70267576, 70267686)	0.178068054885	0.197
('chr14', 105181621, 105181677)	0.990239775816	0.92
('chr11', 85342189, 85342360)	0.497181111104	0.305
('chr4', 153791905, 153792000)	0.816995825527	0.45
('chr17', 41894045, 41894065)	0.966227330644	0.82
('chr19', 805492, 805569)	0.602400920486	0.0
('chr1', 153517946, 153517994)	0.0134322112859	0.08
('chr11', 3068983, 3069231)	0.267152376275	0.026
('chr11', 118404135, 118404266)	0.243924235895	0.293
('chr20', 35866805, 35866852)	0.0328369828813	0.0
('chr22', 40797597, 40797679)	0.780622969006	0.385
('chr11', 66052852, 66053007)	0.174987292268	0.134
('chr17', 6353348, 6353392)	0.621198585349	0.605
('chr11', 63991572, 63991682)	0.439634489632	0.3
('chr6', 33237776, 33237828)	0.978682491637	0.858
('chr19', 805513, 805569)	0.0251363691971	0.0
('chr11', 57583387, 57583473)	0.32741929483	0.122
('chr1', 75184893, 75185056)	0.98414563724	0.88
('chr6', 31804201, 31804294)	0.492072376315	0.216
('chr5', 148622054, 148622101)	0.37510537129	0.087
('chr11', 62401782, 62401847)	0.0933347395644	0.08
('chr17', 42289712, 42289822)	0.376498130188	0.17
('chr6', 136588167, 136588313)	0.772335927481	0.518
('chrX', 23752458, 23752484)	0.217128557988	0.479
('chr19', 11150134, 11150229)	0.232057118508	0.081
('chr12', 110383065, 110383154)	0.24727660511	0.444
('chr19', 7708051, 7708131)	0.8512392822	0.797
('chr22', 43533087, 43533304)	0.908152719219	0.379
('chr19', 47342722, 47342835)	0.991801098242	0.0094
('chr6', 31856746, 31856847)	0.204533953978	0.22
('chr21', 48056351, 48056459)	0.327725053417	0.33
('chr3', 58117654, 58117746)	0.122747821626	0.086
('chr12', 50052225, 50052377)	0.964141808576	0.504
('chr3', 52280990, 52281244)	0.484870923003	0.049
('chr20', 45841287, 45841370)	0.947863590425	0.333
('chr16', 3073475, 3073531)	0.246382864175	0.385
('chr20', 60864263, 60864386)	0.870801245289	1.0
('chr16', 24950685, 24950918)	0.0831537649297	0.031
('chr7', 99056770, 99056886)	0.860722477076	0.872
('chr11', 64055537, 64055686)	0.623813024712	0.392
('chr19', 10919245, 10919256)	0.96514225524	0.587
('chr1', 44067742, 44067768)	0.454067698508	0.438
('chr9', 139303451, 139303519)	0.147644496499	0.204
('chr19', 9268656, 9268751)	0.848658550481	0.601
('chr22', 31724773, 31724910)	0.759989778902	0.095
('chr1', 156446286, 156446306)	0.72374379512	0.571
('chr16', 28993222, 28993377)	0.211466577067	0.361
('chr4', 2746424, 2746672)	0.976690217661	0.803
('chr9', 113013100, 113013159)	0.998315819666	1.0
('chr12', 6958487, 6958593)	0.855403447324	0.647
('chr17', 47491604, 47491695)	0.118000994397	0.016
('chr10', 99213556, 99213603)	0.848332079123	0.824
('chrX', 153585619, 153585642)	0.424110965238	0.4
('chr3', 152164493, 152164546)	0.364550857176	0.564
('chr12', 58113882, 58114046)	0.0710965809498	0.015
('chr15', 65930466, 65930519)	0.24510152419	0.243
('chr19', 7970693, 7970740)	0.101391552027	0.414
('chr20', 62507169, 62507228)	0.927364667432	0.625
('chr1', 110465788, 110466333)	0.00188652515395	0.113
('chr10', 104831531, 104831596)	0.195435773757	0.34
('chr11', 129993507, 129993674)	0.787373532598	0.621
('chr13', 45914847, 45914920)	0.951091366711	0.967
('chr1', 161008341, 161008463)	0.641555194908	0.487
