Event_coordinates	NGS_PSI	PCR_PSI
('chr3', 11886365, 11886570)	0.0505773618384	0.05
('chr7', 99056770, 99056886)	0.722291026694	0.872
('chr9', 99084280, 99084362)	0.599092925463	0.731
('chr1', 2330854, 2330953)	0.598118463773	1.0
('chr19', 1106241, 1106265)	0.822131518909	0.95
('chr17', 42152337, 42152455)	0.382414100324	0.256
('chr1', 153615703, 153615840)	0.49707832469	0.551
('chrX', 153585619, 153585642)	0.198483934739	0.4
('chrX', 128948634, 128948771)	0.881594511245	0.785
('chr1', 53738276, 53738314)	0.0532364621941	0.281
('chr1', 110465788, 110466333)	0.0106921178192	0.113
('chr1', 44067742, 44067768)	0.682495676983	0.438
('chr1', 161008341, 161008463)	0.604418115468	0.487
('chr6', 31804076, 31804294)	0.133744862918	0.216
('chr7', 141441549, 141441592)	0.179230596528	0.027
('chr7', 44251153, 44251203)	0.150670620915	0.082
('chr6', 52130033, 52130183)	0.154498878368	0.0
('chr16', 28993222, 28993377)	0.198731462889	0.361
('chrX', 23752458, 23752484)	0.0841104034677	0.479
('chr9', 113013100, 113013159)	0.997164145038	1.0
('chr17', 6353348, 6353392)	0.244951092266	0.605
('chr3', 152164493, 152164546)	0.535219358165	0.564
('chr5', 134688636, 134688735)	0.712276840602	0.647
('chr22', 43533087, 43533304)	0.34900375431	0.379
('chr20', 35866805, 35866852)	0.0769906926565	0.0
('chr4', 726233, 726287)	0.125520671516	0.245
('chr10', 99213556, 99213603)	0.746382470669	0.824
('chr14', 105181621, 105181677)	0.863270873136	0.92
('chr5', 148622054, 148622101)	0.382797110208	0.087
('chr19', 9268656, 9268751)	0.849770177979	0.601
('chr11', 67817954, 67818131)	0.48268837033	0.114
('chr19', 47342722, 47342835)	0.985214750904	0.0094
('chr6', 31804072, 31804294)	0.0908192212829	0.216
('chr11', 47445980, 47446042)	0.965958637166	0.956
('chr7', 75616856, 75616920)	0.344393607172	0.171
('chr1', 79128389, 79128563)	0.0240145470993	0.083
('chr7', 65439906, 65440058)	0.191836089944	0.212
('chr13', 45914847, 45914920)	0.774941196186	0.967
('chr19', 7970693, 7970740)	0.0845265211593	0.414
('chr11', 66052852, 66053007)	0.140351897852	0.134
('chr19', 7708051, 7708131)	0.862710126936	0.797
('chr16', 88783945, 88784023)	0.500120281941	0.231
('chr16', 75270780, 75270896)	0.986179014805	0.0
('chr3', 52280990, 52281244)	0.368064563885	0.049
('chr17', 47491604, 47491695)	0.308450540749	0.016
('chr12', 124811955, 124812179)	0.657924257381	0.459
('chr11', 63991572, 63991682)	0.406138668113	0.3
('chr1', 156446286, 156446306)	0.438030506425	0.571
('chr19', 805513, 805569)	0.13000071069	0.0
('chr1', 54354917, 54355136)	0.637706153879	0.171
('chr3', 58117654, 58117746)	0.0213658177964	0.086
('chr11', 70267576, 70267686)	0.305360267173	0.197
('chr1', 12042580, 12042647)	0.0910395583084	0.05
('chr3', 50389440, 50389477)	0.860438032102	0.307
('chr15', 65930466, 65930519)	0.163685409685	0.243
('chr6', 36103796, 36103825)	0.425091528638	0.976
('chr19', 45991895, 45991964)	0.740023093369	0.63
('chr17', 41103817, 41103911)	0.319402780989	0.636
('chr20', 62507169, 62507228)	0.924181359579	0.625
('chr12', 124812093, 124812179)	0.373417448866	0.459
('chr19', 17291736, 17291849)	0.94912850147	0.42
('chr12', 6958487, 6958593)	0.496743160421	0.647
('chr7', 100855811, 100855936)	0.780823551106	0.795
('chr12', 7031219, 7031327)	0.813503880072	0.667
('chr22', 40797597, 40797679)	0.705281626097	0.385
('chr10', 99210114, 99210293)	0.202868513132	0.0
('chr19', 10919245, 10919256)	0.955535692249	0.587
('chrX', 2326786, 2326854)	0.680255832913	0.86
('chr10', 104831531, 104831596)	0.0980219274997	0.34
('chr1', 150240357, 150240527)	0.868812593202	0.144
('chr1', 153517946, 153517994)	0.0397798205838	0.08
('chr1', 173684662, 173684793)	0.345867944662	0.283
('chr12', 57993183, 57993221)	0.843431963643	0.432
('chr6', 136588167, 136588313)	0.49456921143	0.518
('chr11', 57583387, 57583473)	0.315384681275	0.122
('chr11', 62401782, 62401847)	0.276110851707	0.08
('chr6', 10755375, 10755465)	0.243191269816	0.566
('chr6', 31804201, 31804294)	0.792123895835	0.216
('chr11', 129993507, 129993674)	0.753550136733	0.621
('chr4', 726189, 726287)	0.155390707341	0.245
('chr12', 50052225, 50052377)	0.913363569128	0.504
('chr16', 24950685, 24950918)	0.107837249148	0.031
('chr11', 117253512, 117253658)	0.929739885056	0.288
('chr2', 85578803, 85578985)	0.84611281862	0.598
('chr19', 805492, 805569)	0.26629270105	0.0
('chr17', 42289712, 42289822)	0.357835005638	0.17
('chr6', 117864287, 117864374)	0.74018882308	0.485
('chr12', 58113882, 58114046)	0.0654857299808	0.015
('chr21', 48056351, 48056459)	0.0717259716438	0.33
('chr11', 233343, 233534)	0.571589432019	0.248
('chr20', 45841287, 45841370)	0.264952628367	0.333
('chr1', 75184893, 75185056)	0.981885613724	0.88
('chr1', 11888515, 11888681)	0.108347049478	0.08
('chr15', 69652305, 69652470)	0.14209832638	0.453
('chr20', 60864263, 60864386)	0.70597314801	1.0
('chr11', 72535105, 72535167)	0.545127947259	0.517
('chr8', 145066046, 145066246)	0.528767731845	0.193
('chr7', 100402788, 100402943)	0.540792240111	0.673
('chr4', 2746424, 2746672)	0.95665136496	0.803
('chr11', 3068983, 3069231)	0.390792046212	0.026
('chr16', 3073475, 3073531)	0.0762709351914	0.385
('chr18', 12420324, 12420492)	0.325644171974	0.157
('chr17', 41894045, 41894065)	0.872401193323	0.82
('chr11', 64055537, 64055686)	0.525953127651	0.392
('chr4', 153791905, 153792000)	0.825077060371	0.45
('chr1', 46034157, 46034356)	0.750230775158	0.407
