Event_coordinates	NGS_PSI	PCR_PSI
('chr3', 11886365, 11886570)	0.0715837429552	0.0
('chr7', 99056770, 99056886)	0.805215637419	0.884
('chr9', 99084280, 99084362)	0.837812989455	0.97
('chr1', 2330854, 2330953)	0.652863493404	1.0
('chr19', 1106241, 1106265)	0.961746371695	0.82
('chr17', 42152337, 42152455)	0.529999015935	0.506
('chr1', 153615703, 153615840)	0.726031500553	0.926
('chrX', 153585619, 153585642)	0.313771642313	0.794
('chrX', 128948634, 128948771)	1.0	0.926
('chr1', 53738276, 53738314)	0.318780644271	0.889
('chr1', 110465788, 110466333)	0.142509622821	0.19
('chr1', 44067742, 44067768)	0.561053699582	0.168
('chr1', 161008341, 161008463)	0.255683324621	0.182
('chr6', 31804076, 31804294)	0.0799343498396	0.067
('chr7', 141441549, 141441592)	0.0202082504034	0.0
('chr7', 44251153, 44251203)	0.182153111848	0.058
('chr6', 52130033, 52130183)	0.142782010718	0.0
('chr16', 28993222, 28993377)	0.717254698893	0.752
('chrX', 23752458, 23752484)	0.162455508104	0.721
('chr9', 113013100, 113013159)	0.996052923839	1.0
('chr17', 6353348, 6353392)	0.50101719214	0.806
('chr3', 152164493, 152164546)	0.230015505628	0.118
('chr5', 134688636, 134688735)	0.968886430361	0.949
('chr22', 43533087, 43533304)	0.363741347616	0.177
('chr20', 35866805, 35866852)	0.123504037705	0.0
('chr4', 726233, 726287)	0.0649996120144	0.0
('chr10', 99213556, 99213603)	0.63281840721	0.563
('chr14', 105181621, 105181677)	0.706679502414	0.759
('chr5', 148622054, 148622101)	0.504043811834	0.0
('chr19', 9268656, 9268751)	0.653855810059	0.57
('chr11', 67817954, 67818131)	0.769855657691	0.707
('chr19', 47342722, 47342835)	0.957173726361	0.01
('chr6', 31804072, 31804294)	0.0322225931146	0.067
('chr11', 47445980, 47446042)	0.997294714094	0.996
('chr6', 33237776, 33237828)	1.0	0.935
('chr7', 75616856, 75616920)	0.720618221081	0.558
('chr1', 79128389, 79128563)	0.486216928584	0.45
('chr7', 65439906, 65440058)	0.419458478713	0.317
('chr13', 45914847, 45914920)	0.788994233799	0.97
('chr19', 7970693, 7970740)	0.445762126338	0.76
('chr11', 66052852, 66053007)	0.616251284185	0.426
('chr19', 7708051, 7708131)	0.921795268988	0.87
('chr16', 88783945, 88784023)	0.225498829092	0.115
('chr16', 75270780, 75270896)	0.980479270797	0.0
('chr3', 52280990, 52281244)	0.555036212833	0.086
('chr17', 47491604, 47491695)	0.328641780572	0.0
('chr12', 124811955, 124812179)	0.587121889322	0.167
('chr11', 63991572, 63991682)	0.672145971089	0.431
('chr1', 156446286, 156446306)	0.237047387925	0.035
('chr19', 805513, 805569)	0.150057098468	0.105
('chr1', 54354917, 54355136)	0.421682327688	0.091
('chr3', 58117654, 58117746)	0.0742114236142	0.33
('chr11', 70267576, 70267686)	0.763144834096	0.498
('chr1', 12042580, 12042647)	0.0143374882732	0.0
('chr3', 50389440, 50389477)	0.927430675318	0.428
('chr15', 65930466, 65930519)	0.646062047165	0.203
('chr6', 36103796, 36103825)	0.559902991379	0.98
('chr19', 45991895, 45991964)	1.0	0.932
('chr17', 41103817, 41103911)	0.66262310627	0.826
('chr20', 62507169, 62507228)	0.758356318758	0.476
('chr12', 124812093, 124812179)	0.310096573456	0.167
('chr19', 17291736, 17291849)	0.994249046131	0.675
('chr12', 6958487, 6958593)	0.576865223215	0.797
('chr7', 100855811, 100855936)	0.698687978106	0.922
('chr12', 7031219, 7031327)	0.935247846556	1.0
('chr22', 31724773, 31724910)	0.169824484238	0.047
('chr22', 40797597, 40797679)	0.605445137371	0.244
('chr10', 99210114, 99210293)	0.0697478261193	0.0
('chr19', 10919245, 10919256)	0.5480091112	0.268
('chrX', 2326786, 2326854)	0.583265833662	0.51
('chr10', 104831531, 104831596)	0.124828918308	0.29
('chr1', 150240357, 150240527)	0.949498336613	0.49
('chr1', 153517946, 153517994)	0.357846587829	0.0
('chr1', 173684662, 173684793)	0.173956155178	0.102
('chr12', 57993183, 57993221)	0.942514900072	0.701
('chr6', 136588167, 136588313)	0.582280379546	0.514
('chr11', 57583387, 57583473)	0.012043729457	0.007
('chr11', 62401782, 62401847)	0.172843557083	0.16
