Event_coordinates	NGS_PSI	PCR_PSI
chr17:42289712-42289822	0.540130607804	0.22
chr11:129993507-129993674	0.203466671894	0.106
chr11:85342189-85342360	0.728126387509	0.366
chr20:35866805-35866852	0.0454571939901	0.0
chr4:2746424-2746672	0.930866895576	0.633
chr12:50052225-50052377	0.569035427347	0.218
chr5:148622054-148622101	0.632548454446	0.0
chr3:152164493-152164546	0.256720325279	0.118
chr19:7970693-7970740	0.59567745084	0.76
chr19:7708051-7708131	0.927809351708	0.87
chr21:48056351-48056459	0.598187549128	0.356
chr17:47491604-47491695	0.0630193327575	0.0
chr6:136588167-136588313	0.886684885004	0.514
chr14:105181621-105181677	0.732111620946	0.759
chr1:161008341-161008463	0.286661438584	0.182
chr11:70267576-70267686	0.791964351734	0.498
chr17:41894045-41894065	0.204134840085	0.0
chr6:31804201-31804294	0.243435348257	0.067
chr19:9268656-9268751	0.668218162358	0.57
chr17:6353348-6353392	0.947399524359	0.806
chr22:31724773-31724910	0.172811659668	0.047
chr11:3068983-3069231	0.0935241038202	0.007
chr11:63991572-63991682	0.755408374515	0.431
chr6:33237776-33237828	0.992297046181	0.935
chr16:3073475-3073531	0.494288482146	0.502
chr9:113013100-113013159	0.997611166272	1.0
chr1:54354917-54355136	0.406573074883	0.091
chr11:118404135-118404266	0.617385145273	0.594
chr10:104831531-104831596	0.3292520746	0.29
chr20:45841287-45841370	0.420016447008	0.08
chr10:99210114-99210293	0.0548372788172	0.0
chr15:65930466-65930519	0.494837597467	0.203
chr11:57583387-57583473	0.0136633512106	0.007
chr11:66052852-66053007	0.671122185086	0.426
chr1:153517946-153517994	0.118806840429	0.0
chr20:62507169-62507228	0.762209400562	0.476
chr11:64055537-64055686	0.675502469436	0.555
chr22:40797597-40797679	0.703192770564	0.244
chr4:153791905-153792000	0.313171242492	0.279
chr9:139303451-139303519	0.346053720809	0.191
chr19:11150134-11150229	0.0935681291946	0.021
chr22:43533087-43533304	0.866488903998	0.177
chr13:45914847-45914920	0.989797004522	0.97
chrX:23752458-23752484	0.831060506658	0.721
chr19:10919245-10919256	0.26086860244	0.268
chr16:24950685-24950918	0.643743852188	0.631
chr1:44067742-44067768	0.0221506809151	0.168
chr1:110465788-110466333	0.0338305770005	0.19
chr7:99056770-99056886	0.903190144092	0.884
chr20:60864263-60864386	0.914677902414	1.0
chr12:58113882-58114046	0.243956419771	0.047
chrX:153585619-153585642	0.866447527468	0.794
chr19:805492-805569	0.731484337468	0.105
chr3:58117654-58117746	0.288397474303	0.33
chr12:110383065-110383154	0.790789192411	0.861
chr10:99213556-99213603	0.644215367943	0.563
chr11:62401782-62401847	0.038342645482	0.16
chr3:52280990-52281244	0.529001575932	0.086
chr1:75184893-75185056	0.983689009514	0.9
chr16:28993222-28993377	0.756530568078	0.752
chr12:6958487-6958593	0.955796616267	0.797
chr1:156446286-156446306	0.421936715098	0.035
chr6:31856746-31856847	0.418453339072	0.434
chr19:805513-805569	0.0566709687231	0.105
chr19:47342722-47342835	0.986651159258	0.01
