Event_coordinates	NGS_PSI	PCR_PSI
chr17:42289712-42289822	0.362933415019	0.17
chr11:129993507-129993674	0.793533611101	0.621
chr11:85342189-85342360	0.579910705215	0.305
chr20:35866805-35866852	0.0435743900257	0.0
chr4:2746424-2746672	0.971859265474	0.803
chr12:50052225-50052377	0.964689178923	0.504
chr5:148622054-148622101	0.606712520136	0.087
chr3:152164493-152164546	0.479894515723	0.564
chr19:7970693-7970740	0.0949393496823	0.414
chr19:7708051-7708131	0.896356763	0.797
chr21:48056351-48056459	0.409210428929	0.33
chr17:47491604-47491695	0.144685010205	0.016
chr6:136588167-136588313	0.819133382987	0.518
chr14:105181621-105181677	0.987910308191	0.92
chr1:161008341-161008463	0.485273129716	0.487
chr11:70267576-70267686	0.17139594818	0.197
chr17:41894045-41894065	0.977069381665	0.82
chr6:31804201-31804294	0.436438411564	0.216
chr19:9268656-9268751	0.898511419769	0.601
chr17:6353348-6353392	0.682259833086	0.605
chr22:31724773-31724910	0.723301628889	0.095
chr11:3068983-3069231	0.242479726524	0.026
chr11:63991572-63991682	0.427513532068	0.3
chr6:33237776-33237828	0.989197602193	0.858
chr16:3073475-3073531	0.218745865818	0.385
chr9:113013100-113013159	0.99876622025	1.0
chr1:54354917-54355136	0.683467376015	0.171
chr11:118404135-118404266	0.15892576651	0.293
chr10:104831531-104831596	0.174228622233	0.34
chr20:45841287-45841370	0.963936148344	0.333
chr10:99210114-99210293	0.303361918133	0.0
chr15:65930466-65930519	0.342925335684	0.243
chr11:57583387-57583473	0.245810247877	0.122
chr11:66052852-66053007	0.162613260173	0.134
chr1:153517946-153517994	0.0119209956835	0.08
chr20:62507169-62507228	0.958948712827	0.625
chr11:64055537-64055686	0.630430974576	0.392
chr22:40797597-40797679	0.794950180914	0.385
chr4:153791905-153792000	0.809266678279	0.45
chr9:139303451-139303519	0.160056625858	0.204
chr19:11150134-11150229	0.265929308786	0.081
chr22:43533087-43533304	0.959957116813	0.379
chr13:45914847-45914920	0.973833949601	0.967
chrX:23752458-23752484	0.270612010683	0.479
chr19:10919245-10919256	0.972910775477	0.587
chr16:24950685-24950918	0.0719202114665	0.031
chr1:44067742-44067768	0.40108706089	0.438
chr1:110465788-110466333	0.0	0.113
chr7:99056770-99056886	0.876012342478	0.872
chr20:60864263-60864386	0.882817614025	1.0
chr12:58113882-58114046	0.0611790375016	0.015
chrX:153585619-153585642	0.355046307727	0.4
chr19:805492-805569	0.62367194781	0.0
chr3:58117654-58117746	0.110649338653	0.086
chr12:110383065-110383154	0.224045292687	0.444
chr10:99213556-99213603	0.912759220167	0.824
chr11:62401782-62401847	0.078758203487	0.08
chr3:52280990-52281244	0.504706806423	0.049
chr1:75184893-75185056	0.990143210883	0.88
chr16:28993222-28993377	0.197788042263	0.361
chr12:6958487-6958593	0.94904262376	0.647
chr1:156446286-156446306	0.729306613088	0.571
chr6:31856746-31856847	0.18639709278	0.22
chr19:805513-805569	0.0282022200519	0.0
chr19:47342722-47342835	0.995227993444	0.0094
