Event_coordinates	NGS_PSI	PCR_PSI
('chr10', 99210114, 99210293)	0.0820990620354	0.0
('chr1', 54354917, 54355136)	0.385884348489	0.091
('chr11', 70267576, 70267686)	0.712960521585	0.498
('chr14', 105181621, 105181677)	0.711175709733	0.759
('chr11', 85342189, 85342360)	0.784463800802	0.366
('chr4', 153791905, 153792000)	0.294632245302	0.279
('chr17', 41894045, 41894065)	0.0644057024487	0.0
('chr19', 805492, 805569)	0.767483917803	0.105
('chr1', 153517946, 153517994)	0.111650427737	0.0
('chr11', 3068983, 3069231)	0.0856506457489	0.007
('chr11', 118404135, 118404266)	0.609935030506	0.594
('chr20', 35866805, 35866852)	0.0484468797082	0.0
('chr22', 40797597, 40797679)	0.717310168613	0.244
('chr11', 66052852, 66053007)	0.659680740989	0.426
('chr17', 6353348, 6353392)	0.973274159086	0.806
('chr11', 63991572, 63991682)	0.879161306147	0.431
('chr6', 33237776, 33237828)	0.99442402949	0.935
('chr19', 805513, 805569)	0.0596641272805	0.105
('chr11', 57583387, 57583473)	0.0135016458905	0.007
('chr1', 75184893, 75185056)	0.982425406603	0.9
('chr6', 31804201, 31804294)	0.212313644079	0.067
('chr5', 148622054, 148622101)	0.741396493288	0.0
('chr11', 62401782, 62401847)	0.0338052412699	0.16
('chr17', 42289712, 42289822)	0.535286590026	0.22
('chr6', 136588167, 136588313)	0.913820052218	0.514
('chrX', 23752458, 23752484)	0.885482038847	0.721
('chr19', 11150134, 11150229)	0.092455256486	0.021
('chr12', 110383065, 110383154)	0.662130191195	0.861
('chr19', 7708051, 7708131)	0.949945096571	0.87
('chr22', 43533087, 43533304)	0.921414269033	0.177
('chr19', 47342722, 47342835)	0.990035012393	0.01
('chr6', 31856746, 31856847)	0.370194474829	0.434
('chr21', 48056351, 48056459)	0.699822256573	0.356
('chr3', 58117654, 58117746)	0.241828238104	0.33
('chr12', 50052225, 50052377)	0.525929494994	0.218
('chr3', 52280990, 52281244)	0.456313708711	0.086
('chr20', 45841287, 45841370)	0.475362104401	0.08
('chr16', 3073475, 3073531)	0.441572473148	0.502
('chr20', 60864263, 60864386)	0.922388864799	1.0
('chr16', 24950685, 24950918)	0.549257609761	0.631
('chr7', 99056770, 99056886)	0.934242629104	0.884
('chr11', 64055537, 64055686)	0.640976650974	0.555
('chr19', 10919245, 10919256)	0.271012919231	0.268
('chr1', 44067742, 44067768)	0.0160449817714	0.168
('chr9', 139303451, 139303519)	0.376719280547	0.191
('chr19', 9268656, 9268751)	0.620354707741	0.57
('chr22', 31724773, 31724910)	0.173625950556	0.047
('chr1', 156446286, 156446306)	0.441042440501	0.035
('chr16', 28993222, 28993377)	0.830515766646	0.752
('chr4', 2746424, 2746672)	0.93931951058	0.633
('chr9', 113013100, 113013159)	0.999594946619	1.0
('chr12', 6958487, 6958593)	0.985101267871	0.797
('chr17', 47491604, 47491695)	0.0857181497662	0.0
('chr10', 99213556, 99213603)	0.708115123735	0.563
('chrX', 153585619, 153585642)	0.793795487827	0.794
('chr3', 152164493, 152164546)	0.23200926603	0.118
('chr12', 58113882, 58114046)	0.200411023442	0.047
('chr15', 65930466, 65930519)	0.664041347375	0.203
('chr19', 7970693, 7970740)	0.604428520542	0.76
('chr20', 62507169, 62507228)	0.827369004778	0.476
('chr1', 110465788, 110466333)	0.0036493034551	0.19
('chr10', 104831531, 104831596)	0.385052492428	0.29
('chr11', 129993507, 129993674)	0.198638039412	0.106
('chr13', 45914847, 45914920)	0.994050249997	0.97
('chr1', 161008341, 161008463)	0.213395362247	0.182
